#voltaje, posicion, velocidad
-15.0, 0.0, 0.0
-14.974958263772955, -178309.0, -22.72727
-14.94991652754591, -361333.0, -22.72727
-14.924874791318866, -544153.0, -22.72727
-14.89983305509182, -727400.0, -20.20202
-14.874791318864775, -909960.0, -22.47191
-14.84974958263773, -1092840.0, -22.72727
-14.824707846410684, -1276017.0, -22.22222
-14.79966611018364, -1458997.0, -20.20202
-14.774624373956595, -1641157.0, -22.72727
-14.74958263772955, -1824024.0, -22.98851
-14.724540901502504, -2007121.0, -22.98851
-14.699499165275459, -2190153.0, -22.98851
-14.674457429048413, -2373277.0, -22.98851
-14.64941569282137, -2556265.0, -22.72727
-14.624373956594324, -2739217.0, -22.72727
-14.599332220367279, -2922329.0, -22.72727
-14.574290484140233, -3105813.0, -22.98851
-14.549248747913188, -3288541.0, -22.72727
-14.524207011686144, -3471997.0, -22.47191
-14.499165275459099, -3655264.0, -22.98851
-14.474123539232053, -3837428.0, -22.72727
-14.449081803005008, -4020869.0, -22.72727
-14.424040066777962, -4204661.0, -22.98851
-14.398998330550919, -4387669.0, -22.72727
-14.373956594323873, -4570813.0, -22.72727
-14.348914858096828, -4753273.0, -22.98851
-14.323873121869783, -4937013.0, -22.72727
-14.298831385642737, -5119365.0, -22.98851
-14.273789649415694, -5302817.0, -22.98851
-14.248747913188648, -5485869.0, -22.98851
-14.223706176961603, -5669357.0, -22.98851
-14.198664440734557, -5851657.0, -22.98851
-14.173622704507512, -6035329.0, -22.72727
-14.148580968280468, -6218217.0, -22.98851
-14.123539232053423, -6401716.0, -22.72727
-14.098497495826377, -6585605.0, -22.98851
-14.073455759599332, -6768513.0, -22.72727
-14.048414023372287, -6951321.0, -22.98851
-14.023372287145243, -7134905.0, -22.72727
-13.998330550918197, -7317245.0, -22.98851
-13.973288814691152, -7500121.0, -22.72727
-13.948247078464107, -7682749.0, -22.98851
-13.923205342237061, -7866257.0, -22.72727
-13.898163606010016, -8049285.0, -22.98851
-13.873121869782972, -8231781.0, -22.98851
-13.848080133555927, -8415141.0, -22.72727
-13.823038397328881, -8597320.0, -22.98851
-13.797996661101836, -8780788.0, -22.47191
-13.772954924874792, -8964045.0, -22.98851
-13.747913188647747, -9146837.0, -22.72727
-13.722871452420701, -9329053.0, -22.98851
-13.697829716193656, -9511845.0, -20.40816
-13.67278797996661, -9695156.0, -22.72727
-13.647746243739565, -9878560.0, -22.72727
-13.622704507512521, -10061301.0, -22.72727
-13.597662771285476, -10244181.0, -22.72727
-13.57262103505843, -10426753.0, -22.72727
-13.547579298831385, -10610029.0, -22.98851
-13.52253756260434, -10792609.0, -22.72727
-13.497495826377296, -10976212.0, -22.98851
-13.47245409015025, -11159104.0, -22.72727
-13.447412353923205, -11341805.0, -22.72727
-13.42237061769616, -11525292.0, -22.72727
-13.397328881469114, -11707768.0, -22.72727
-13.37228714524207, -11890648.0, -22.98851
-13.347245409015025, -12073325.0, -22.72727
-13.32220367278798, -12256957.0, -22.72727
-13.297161936560935, -12439757.0, -22.98851
-13.27212020033389, -12623049.0, -22.98851
-13.247078464106846, -12806224.0, -22.72727
-13.2220367278798, -12988785.0, -22.98851
-13.196994991652755, -13172073.0, -22.72727
-13.17195325542571, -13354921.0, -22.72727
-13.146911519198664, -13538433.0, -22.98851
-13.121869782971618, -13721381.0, -22.72727
-13.096828046744575, -13904141.0, -22.72727
-13.07178631051753, -14087261.0, -22.72727
-13.046744574290484, -14270652.0, -22.72727
-13.021702838063439, -14454136.0, -22.72727
-12.996661101836395, -14636865.0, -22.72727
-12.97161936560935, -14819965.0, -22.98851
-12.946577629382304, -15003597.0, -22.72727
-12.921535893155259, -15186713.0, -22.72727
-12.896494156928213, -15369892.0, -22.72727
-12.871452420701168, -15553765.0, -22.72727
-12.846410684474124, -15736417.0, -22.98851
-12.821368948247079, -15918836.0, -22.98851
-12.796327212020033, -16102540.0, -22.72727
-12.771285475792988, -16285533.0, -22.72727
-12.746243739565944, -16468076.0, -22.72727
-12.721202003338899, -16651528.0, -22.72727
-12.696160267111853, -16834604.0, -22.98851
-12.671118530884808, -17017744.0, -22.47191
-12.646076794657763, -17200525.0, -22.98851
-12.621035058430717, -17383673.0, -22.98851
-12.595993322203672, -17566396.0, -22.72727
-12.570951585976628, -17749829.0, -20.61856
-12.545909849749583, -17933492.0, -22.72727
-12.520868113522537, -18117200.0, -22.98851
-12.495826377295492, -18299941.0, -22.98851
-12.470784641068448, -18483477.0, -22.98851
-12.445742904841403, -18666281.0, -22.47191
-12.420701168614357, -18849945.0, -22.98851
-12.395659432387312, -19033764.0, -22.72727
-12.370617696160267, -19217517.0, -22.98851
-12.345575959933221, -19400017.0, -22.72727
-12.320534223706177, -19583057.0, -22.98851
-12.295492487479132, -19765869.0, -22.72727
-12.270450751252087, -19948484.0, -22.72727
-12.245409015025041, -20131164.0, -22.98851
-12.220367278797998, -20314409.0, -22.72727
-12.195325542570952, -20498225.0, -22.98851
-12.170283806343907, -20680957.0, -22.72727
-12.145242070116861, -20864581.0, -22.72727
-12.120200333889816, -21047389.0, -22.72727
-12.09515859766277, -21231165.0, -22.98851
-12.070116861435725, -21414113.0, -22.72727
-12.045075125208681, -21597165.0, -22.72727
-12.020033388981636, -21780136.0, -22.98851
-11.99499165275459, -21962861.0, -22.72727
-11.969949916527547, -22146709.0, -22.98851
-11.944908180300501, -22330505.0, -22.47191
-11.919866444073456, -22512945.0, -22.72727
-11.89482470784641, -22695825.0, -22.98851
-11.869782971619365, -22879393.0, -22.47191
-11.84474123539232, -23061957.0, -22.98851
-11.819699499165274, -23244545.0, -22.72727
-11.79465776293823, -23428293.0, -22.98851
-11.769616026711185, -23611201.0, -22.72727
-11.74457429048414, -23793633.0, -22.98851
-11.719532554257095, -23977345.0, -22.72727
-11.69449081803005, -24160841.0, -22.72727
-11.669449081803005, -24343285.0, -22.47191
-11.64440734557596, -24525500.0, -22.72727
-11.619365609348915, -24708985.0, -22.98851
-11.59432387312187, -24892229.0, -22.98851
-11.569282136894824, -25075008.0, -22.72727
-11.54424040066778, -25257505.0, -22.72727
-11.519198664440735, -25440176.0, -22.98851
-11.49415692821369, -25622805.0, -22.72727
-11.469115191986644, -25806476.0, -22.72727
-11.4440734557596, -25988921.0, -22.72727
-11.419031719532555, -26172409.0, -22.72727
-11.39398998330551, -26355200.0, -22.98851
-11.368948247078464, -26538437.0, -22.72727
-11.343906510851419, -26721945.0, -22.98851
-11.318864774624373, -26905129.0, -22.72727
-11.293823038397328, -27088017.0, -22.98851
-11.268781302170284, -27271345.0, -22.98851
-11.243739565943239, -27454321.0, -22.98851
-11.218697829716193, -27638244.0, -22.98851
-11.19365609348915, -27821989.0, -22.72727
-11.168614357262104, -28005221.0, -22.72727
-11.143572621035059, -28188145.0, -22.72727
-11.118530884808013, -28370921.0, -22.72727
-11.093489148580968, -28553704.0, -22.72727
-11.068447412353922, -28737517.0, -22.72727
-11.043405676126877, -28921517.0, -22.72727
-11.018363939899833, -29104521.0, -22.72727
-10.993322203672788, -29287529.0, -22.72727
-10.968280467445743, -29471281.0, -22.72727
-10.943238731218699, -29654201.0, -22.72727
-10.918196994991654, -29837973.0, -22.98851
-10.893155258764608, -30020881.0, -22.72727
-10.868113522537563, -30203985.0, -22.72727
-10.843071786310517, -30388017.0, -22.98851
-10.818030050083472, -30571385.0, -22.72727
-10.792988313856426, -30755261.0, -22.72727
-10.767946577629381, -30938829.0, -22.98851
-10.742904841402337, -31121520.0, -22.98851
-10.717863105175292, -31304708.0, -22.72727
-10.692821368948248, -31487497.0, -22.72727
-10.667779632721203, -31670472.0, -22.98851
-10.642737896494157, -31854385.0, -22.98851
-10.617696160267112, -32037368.0, -22.72727
-10.592654424040067, -32221065.0, -22.72727
-10.567612687813021, -32404913.0, -22.72727
-10.542570951585976, -32587637.0, -22.72727
-10.51752921535893, -32771205.0, -22.98851
-10.492487479131887, -32954764.0, -22.72727
-10.467445742904841, -33138401.0, -22.98851
-10.442404006677796, -33321129.0, -22.72727
-10.417362270450752, -33504189.0, -22.72727
-10.392320534223707, -33686905.0, -22.98851
-10.367278797996661, -33870449.0, -22.72727
-10.342237061769616, -34053177.0, -22.72727
-10.31719532554257, -34236588.0, -22.72727
-10.292153589315525, -34418957.0, -22.72727
-10.26711185308848, -34602129.0, -22.72727
-10.242070116861434, -34785013.0, -22.72727
-10.21702838063439, -34967213.0, -22.72727
-10.191986644407345, -35149309.0, -22.72727
-10.166944908180302, -35331545.0, -22.98851
-10.141903171953256, -35514425.0, -22.72727
-10.11686143572621, -35696916.0, -22.98851
-10.091819699499165, -35878581.0, -22.98851
-10.06677796327212, -36061229.0, -22.72727
-10.041736227045075, -36244149.0, -22.72727
-10.016694490818029, -36426641.0, -22.47191
-9.991652754590984, -36608121.0, -22.72727
-9.96661101836394, -36790688.0, -22.72727
-9.941569282136895, -36973405.0, -22.72727
-9.916527545909851, -37155609.0, -22.72727
-9.891485809682806, -37337197.0, -22.72727
-9.86644407345576, -37518413.0, -22.47191
-9.841402337228715, -37699536.0, -22.98851
-9.81636060100167, -37880745.0, -22.47191
-9.791318864774624, -38062445.0, -22.72727
-9.766277128547578, -38243593.0, -22.47191
-9.741235392320533, -38424897.0, -22.47191
-9.71619365609349, -38605721.0, -22.47191
-9.691151919866444, -38787061.0, -22.72727
-9.666110183639399, -38968437.0, -22.47191
-9.641068447412355, -39149125.0, -22.47191
-9.61602671118531, -39329565.0, -22.72727
-9.590984974958264, -39509840.0, -22.47191
-9.565943238731219, -39690224.0, -22.22222
-9.540901502504173, -39870061.0, -22.47191
-9.515859766277128, -40049737.0, -22.72727
-9.490818030050082, -40229596.0, -22.22222
-9.465776293823037, -40409557.0, -22.22222
-9.440734557595993, -40588613.0, -22.22222
-9.415692821368948, -40767705.0, -22.47191
-9.390651085141904, -40947100.0, -22.22222
-9.365609348914859, -41126117.0, -22.22222
-9.340567612687813, -41304997.0, -22.22222
-9.315525876460768, -41483189.0, -22.22222
-9.290484140233723, -41660808.0, -20.0
-9.265442404006677, -41838133.0, -21.97802
-9.240400667779632, -42016385.0, -21.97802
-9.215358931552586, -42193133.0, -22.22222
-9.190317195325543, -42369517.0, -22.22222
-9.165275459098497, -42546345.0, -21.97802
-9.140233722871452, -42722285.0, -21.97802
-9.115191986644408, -42898181.0, -21.97802
-9.090150250417363, -43073656.0, -21.97802
-9.065108514190317, -43249433.0, -21.97802
-9.040066777963272, -43424845.0, -21.97802
-9.015025041736227, -43600377.0, -21.97802
-8.989983305509181, -43775876.0, -21.97802
-8.964941569282136, -43950813.0, -21.73913
-8.939899833055092, -44124609.0, -21.73913
-8.914858096828047, -44298801.0, -21.50538
-8.889816360601001, -44471977.0, -21.50538
-8.864774624373958, -44645165.0, -21.73913
-8.839732888146912, -44817409.0, -21.50538
-8.814691151919867, -44989916.0, -21.50538
-8.789649415692821, -45161645.0, -21.2766
-8.764607679465776, -45332844.0, -21.50538
-8.73956594323873, -45504593.0, -21.50538
-8.714524207011685, -45675089.0, -21.2766
-8.68948247078464, -45845001.0, -21.2766
-8.664440734557596, -46015145.0, -21.2766
-8.63939899833055, -46184213.0, -21.2766
-8.614357262103507, -46353569.0, -21.05263
-8.589315525876462, -46521957.0, -21.05263
-8.564273789649416, -46690689.0, -21.05263
-8.53923205342237, -46858901.0, -20.83333
-8.514190317195325, -47026077.0, -20.83333
-8.48914858096828, -47193500.0, -20.61856
-8.464106844741234, -47360761.0, -20.61856
-8.439065108514189, -47526881.0, -20.83333
-8.414023372287145, -47693045.0, -20.83333
-8.3889816360601, -47858217.0, -20.83333
-8.363939899833055, -48022932.0, -20.40816
-8.33889816360601, -48187816.0, -20.40816
-8.313856427378965, -48352165.0, -20.61856
-8.28881469115192, -48515637.0, -20.20202
-8.263772954924875, -48678633.0, -20.20202
-8.23873121869783, -48841608.0, -20.20202
-8.213689482470784, -49003416.0, -20.0
-8.188647746243738, -49164849.0, -20.0
-8.163606010016695, -49325713.0, -20.0
-8.13856427378965, -49485845.0, -20.0
-8.113522537562604, -49645332.0, -19.80198
-8.08848080133556, -49804873.0, -19.80198
-8.063439065108515, -49963397.0, -19.41748
-8.03839732888147, -50121457.0, -19.60784
-8.013355592654424, -50279213.0, -19.60784
-7.988313856427379, -50436413.0, -19.41748
-7.963272120200334, -50592196.0, -19.60784
-7.938230383973289, -50747693.0, -19.23077
-7.913188647746243, -50899284.0, -18.69159
-7.888146911519199, -51049288.0, -18.69159
-7.863105175292153, -51198712.0, -18.51852
-7.838063439065109, -51347121.0, -18.69159
-7.813021702838063, -51495328.0, -18.34862
-7.787979966611018, -51643025.0, -18.18182
-7.762938230383973, -51789669.0, -18.34862
-7.737896494156928, -51935837.0, -18.34862
-7.712854757929883, -52080781.0, -18.01802
-7.687813021702838, -52224509.0, -18.01802
-7.662771285475793, -52367621.0, -17.85714
-7.637729549248748, -52509937.0, -17.85714
-7.612687813021703, -52651129.0, -17.54386
-7.587646076794657, -52791541.0, -17.54386
-7.562604340567613, -52931501.0, -17.54386
-7.537562604340567, -53070725.0, -17.3913
-7.512520868113523, -53208269.0, -17.24138
-7.487479131886477, -53345916.0, -17.24138
-7.462437395659432, -53482057.0, -16.94915
-7.437395659432387, -53617845.0, -16.94915
-7.412353923205342, -53752804.0, -16.80672
-7.387312186978297, -53886101.0, -16.66667
-7.362270450751252, -54019796.0, -16.66667
-7.3372287145242066, -54152113.0, -16.52892
-7.312186978297162, -54283472.0, -16.26016
-7.287145242070117, -54414525.0, -16.26016
-7.262103505843071, -54544617.0, -16.26016
-7.237061769616027, -54673493.0, -16.12903
-7.212020033388981, -54802049.0, -16.0
-7.186978297161937, -54929597.0, -15.87302
-7.161936560934891, -55056693.0, -15.87302
-7.136894824707846, -55182629.0, -15.74803
-7.111853088480801, -55307317.0, -15.50388
-7.086811352253756, -55432081.0, -15.38461
-7.061769616026711, -55555485.0, -15.38461
-7.036727879799666, -55676969.0, -15.15152
-7.0116861435726205, -55792037.0, -14.38849
-6.986644407345576, -55906617.0, -14.28571
-6.961602671118531, -56020025.0, -14.1844
-6.936560934891485, -56133173.0, -14.08451
-6.91151919866444, -56244965.0, -13.98601
-6.886477462437396, -56356753.0, -13.88889
-6.861435726210351, -56468053.0, -13.7931
-6.836393989983305, -56578685.0, -13.7931
-6.81135225375626, -56688889.0, -13.88889
-6.786310517529214, -56798332.0, -13.60544
-6.761268781302171, -56907221.0, -13.51351
-6.736227045075125, -57015608.0, -13.33333
-6.71118530884808, -57122860.0, -13.51351
-6.6861435726210345, -57229557.0, -13.33333
-6.661101836393989, -57336137.0, -13.24503
-6.6360601001669455, -57441585.0, -13.24503
-6.6110183639399, -57546596.0, -12.90323
-6.585976627712855, -57650752.0, -13.0719
-6.560934891485809, -57755033.0, -12.82051
-6.535893155258764, -57858385.0, -12.82051
-6.51085141903172, -57960717.0, -12.65823
-6.485809682804675, -58062581.0, -12.73885
-6.460767946577629, -58164253.0, -12.82051
-6.435726210350584, -58265224.0, -12.57862
-6.4106844741235385, -58365625.0, -12.42236
-6.385642737896495, -58465269.0, -12.57862
-6.360601001669449, -58564673.0, -12.42236
-6.335559265442404, -58663305.0, -12.12121
-6.310517529215359, -58761149.0, -12.04819
-6.285475792988313, -58858180.0, -12.04819
-6.260434056761268, -58954881.0, -11.97605
-6.235392320534224, -59050893.0, -11.83432
-6.210350584307179, -59145705.0, -11.69591
